"PROVINCIA","SECCION","Circuito","NOMBRE_CATEGORIA","NOMBRE_AGRUPACION","PASO","GRAL"
"Buenos Aires","Almirante Brown","0021","Presidente y Vicepresidente de la República","VB",1262,515
"Buenos Aires","Almirante Brown","0021","Presidente y Vicepresidente de la República","VII",20,61
"Buenos Aires","Almirante Brown","0021","Presidente y Vicepresidente de la República","VN",283,422
"Buenos Aires","Almirante Brown","0021","Presidente y Vicepresidente de la República","VR",17,42
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",1787,1821
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","CSCCC",14,14
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",1222,1016
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","FRENTE DE TODOS",15747,16944
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","FRENTE NOS",420,457
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",5459,6744
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",415,442
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","VB",856,401
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","VII",0,25
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","VN",146,222
"Buenos Aires","Almirante Brown","0022","Presidente y Vicepresidente de la República","VR",2,14
"Buenos Aires","Almirante Brown","0018A","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",2004,2215
"Buenos Aires","Almirante Brown","0018A","Presidente y Vicepresidente de la República","CSCCC",19,19
"Buenos Aires","Almirante Brown","0018A","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",1373,1199
"Buenos Aires","Almirante Brown","0018A","Presidente y Vicepresidente de la República","FRENTE DE TODOS",27698,29458
"Buenos Aires","Almirante Brown","0018A","Presidente y Vicepresidente de la República","FRENTE NOS",703,869
"Buenos Aires","Almirante Brown","0018A","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",6201,7862
"Buenos Aires","Almirante Brown","0018A","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",445,520
"Buenos Aires","Almirante Brown","0018A","Presidente y Vicepresidente de la República","VB",1244,559
"Buenos Aires","Almirante Brown","0018A","Presidente y Vicepresidente de la República","VII",12,42
"Buenos Aires","Almirante Brown","0018A","Presidente y Vicepresidente de la República","VN",276,337
"Buenos Aires","Almirante Brown","0018A","Presidente y Vicepresidente de la República","VR",18,19
"Buenos Aires","Almirante Brown","0020A","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",1541,1556
"Buenos Aires","Almirante Brown","0020A","Presidente y Vicepresidente de la República","CSCCC",18,12
"Buenos Aires","Almirante Brown","0020A","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",851,707
"Buenos Aires","Almirante Brown","0020A","Presidente y Vicepresidente de la República","FRENTE DE TODOS",15431,16363
"Buenos Aires","Almirante Brown","0020A","Presidente y Vicepresidente de la República","FRENTE NOS",423,430
"Buenos Aires","Almirante Brown","0020A","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",3748,4836
"Buenos Aires","Almirante Brown","0020A","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",339,383
"Buenos Aires","Almirante Brown","0020A","Presidente y Vicepresidente de la República","VB",738,367
"Buenos Aires","Almirante Brown","0020A","Presidente y Vicepresidente de la República","VII",7,22
"Buenos Aires","Almirante Brown","0020A","Presidente y Vicepresidente de la República","VN",171,241
"Buenos Aires","Almirante Brown","0020A","Presidente y Vicepresidente de la República","VR",4,3
"Buenos Aires","Almirante Brown","0021A","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",561,582
"Buenos Aires","Almirante Brown","0021A","Presidente y Vicepresidente de la República","CSCCC",5,6
"Buenos Aires","Almirante Brown","0021A","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",422,318
"Buenos Aires","Almirante Brown","0021A","Presidente y Vicepresidente de la República","FRENTE DE TODOS",6936,7358
"Buenos Aires","Almirante Brown","0021A","Presidente y Vicepresidente de la República","FRENTE NOS",207,231
"Buenos Aires","Almirante Brown","0021A","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",1563,2035
"Buenos Aires","Almirante Brown","0021A","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",143,143
"Buenos Aires","Almirante Brown","0021A","Presidente y Vicepresidente de la República","VB",344,174
"Buenos Aires","Almirante Brown","0021A","Presidente y Vicepresidente de la República","VII",0,1
"Buenos Aires","Almirante Brown","0021A","Presidente y Vicepresidente de la República","VN",90,90
"Buenos Aires","Almirante Brown","0021A","Presidente y Vicepresidente de la República","VR",3,3
"Buenos Aires","Almirante Brown","0022A","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",2497,2490
"Buenos Aires","Almirante Brown","0022A","Presidente y Vicepresidente de la República","CSCCC",17,24
"Buenos Aires","Almirante Brown","0022A","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",1512,1274
"Buenos Aires","Almirante Brown","0022A","Presidente y Vicepresidente de la República","FRENTE DE TODOS",23149,25223
"Buenos Aires","Almirante Brown","0022A","Presidente y Vicepresidente de la República","FRENTE NOS",700,714
"Buenos Aires","Almirante Brown","0022A","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",7714,9782
"Buenos Aires","Almirante Brown","0022A","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",526,549
"Buenos Aires","Almirante Brown","0022A","Presidente y Vicepresidente de la República","VB",1083,506
"Buenos Aires","Almirante Brown","0022A","Presidente y Vicepresidente de la República","VII",2,21
"Buenos Aires","Almirante Brown","0022A","Presidente y Vicepresidente de la República","VN",231,299
"Buenos Aires","Almirante Brown","0022A","Presidente y Vicepresidente de la República","VR",6,25
"Buenos Aires","Almirante Brown","0022B","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",710,677
"Buenos Aires","Almirante Brown","0022B","Presidente y Vicepresidente de la República","CSCCC",5,0
"Buenos Aires","Almirante Brown","0022B","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",455,354
"Buenos Aires","Almirante Brown","0022B","Presidente y Vicepresidente de la República","FRENTE DE TODOS",8015,7893
"Buenos Aires","Almirante Brown","0022B","Presidente y Vicepresidente de la República","FRENTE NOS",265,266
"Buenos Aires","Almirante Brown","0022B","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",2116,2431
"Buenos Aires","Almirante Brown","0022B","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",161,149
"Buenos Aires","Almirante Brown","0022B","Presidente y Vicepresidente de la República","VB",313,218
"Buenos Aires","Almirante Brown","0022B","Presidente y Vicepresidente de la República","VII",1,3
"Buenos Aires","Almirante Brown","0022B","Presidente y Vicepresidente de la República","VN",88,83
"Buenos Aires","Almirante Brown","0022B","Presidente y Vicepresidente de la República","VR",5,9
"Buenos Aires","Avellaneda","0023","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",897,692
"Buenos Aires","Avellaneda","0023","Presidente y Vicepresidente de la República","CSCCC",11,8
"Buenos Aires","Avellaneda","0023","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",414,301
"Buenos Aires","Avellaneda","0023","Presidente y Vicepresidente de la República","FRENTE DE TODOS",4441,4753
"Buenos Aires","Avellaneda","0023","Presidente y Vicepresidente de la República","FRENTE NOS",85,66
"Buenos Aires","Avellaneda","0023","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",3950,4603
"Buenos Aires","Avellaneda","0023","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",269,169
"Buenos Aires","Avellaneda","0023","Presidente y Vicepresidente de la República","VB",255,120
"Buenos Aires","Avellaneda","0023","Presidente y Vicepresidente de la República","VII",0,1
"Buenos Aires","Avellaneda","0023","Presidente y Vicepresidente de la República","VN",50,43
"Buenos Aires","Avellaneda","0023","Presidente y Vicepresidente de la República","VR",4,5
"Buenos Aires","Avellaneda","0024","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",643,496
"Buenos Aires","Avellaneda","0024","Presidente y Vicepresidente de la República","CSCCC",11,5
"Buenos Aires","Avellaneda","0024","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",309,274
"Buenos Aires","Avellaneda","0024","Presidente y Vicepresidente de la República","FRENTE DE TODOS",3552,3810
"Buenos Aires","Avellaneda","0024","Presidente y Vicepresidente de la República","FRENTE NOS",90,52
"Buenos Aires","Avellaneda","0024","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",2950,3483
"Buenos Aires","Avellaneda","0024","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",196,151
"Buenos Aires","Avellaneda","0024","Presidente y Vicepresidente de la República","VB",189,107
"Buenos Aires","Avellaneda","0024","Presidente y Vicepresidente de la República","VII",1,2
"Buenos Aires","Avellaneda","0024","Presidente y Vicepresidente de la República","VN",50,51
"Buenos Aires","Avellaneda","0024","Presidente y Vicepresidente de la República","VR",2,1
"Buenos Aires","Avellaneda","0025","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",523,479
"Buenos Aires","Avellaneda","0025","Presidente y Vicepresidente de la República","CSCCC",13,10
"Buenos Aires","Avellaneda","0025","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",286,215
"Buenos Aires","Avellaneda","0025","Presidente y Vicepresidente de la República","FRENTE DE TODOS",4919,5149
"Buenos Aires","Avellaneda","0025","Presidente y Vicepresidente de la República","FRENTE NOS",78,103
"Buenos Aires","Avellaneda","0025","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",2113,2465
"Buenos Aires","Avellaneda","0025","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",195,142
"Buenos Aires","Avellaneda","0025","Presidente y Vicepresidente de la República","VB",246,135
"Buenos Aires","Avellaneda","0025","Presidente y Vicepresidente de la República","VII",2,1
"Buenos Aires","Avellaneda","0025","Presidente y Vicepresidente de la República","VN",38,36
"Buenos Aires","Avellaneda","0025","Presidente y Vicepresidente de la República","VR",2,2
"Buenos Aires","Avellaneda","0026","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",95,109
"Buenos Aires","Avellaneda","0026","Presidente y Vicepresidente de la República","CSCCC",3,3
"Buenos Aires","Avellaneda","0026","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",65,66
"Buenos Aires","Avellaneda","0026","Presidente y Vicepresidente de la República","FRENTE DE TODOS",3413,3779
"Buenos Aires","Avellaneda","0026","Presidente y Vicepresidente de la República","FRENTE NOS",44,59
"Buenos Aires","Avellaneda","0026","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",335,417
"Buenos Aires","Avellaneda","0026","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",28,19
"Buenos Aires","Avellaneda","0026","Presidente y Vicepresidente de la República","VB",88,90
"Buenos Aires","Avellaneda","0026","Presidente y Vicepresidente de la República","VII",0,3
"Buenos Aires","Avellaneda","0026","Presidente y Vicepresidente de la República","VN",2,0
"Buenos Aires","Avellaneda","0026","Presidente y Vicepresidente de la República","VR",0,0
"Buenos Aires","Avellaneda","0027","Presidente y Vicepresidente de la República","CONSENSO FEDERAL",819,751
"Buenos Aires","Avellaneda","0027","Presidente y Vicepresidente de la República","CSCCC",17,17
"Buenos Aires","Avellaneda","0027","Presidente y Vicepresidente de la República","FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD",460,363
"Buenos Aires","Avellaneda","0027","Presidente y Vicepresidente de la República","FRENTE DE TODOS",10579,11209
"Buenos Aires","Avellaneda","0027","Presidente y Vicepresidente de la República","FRENTE NOS",242,217
"Buenos Aires","Avellaneda","0027","Presidente y Vicepresidente de la República","JUNTOS POR EL CAMBIO",2828,3376
"Buenos Aires","Avellaneda","0027","Presidente y Vicepresidente de la República","UNITE POR LA LIBERTAD Y LA DIGNIDAD",267,209
"Buenos Aires","Avellaneda","0027","Presidente y Vicepresidente de la República","VB",335,232
"Buenos Aires","Avellaneda","0027","Presidente y Vicepresidente de la República","VII",7,5
"Buenos Aires","Avellaneda","0027","Presidente y Vicepresidente de la República","VN",82,72
